Time(ms),CO2(ppm)
799946,1082.34
800958,959.53
801970,949.06
802981,990.63
803991,986.88
805003,1062.81
806014,1068.44
807026,1059.53
808036,1040
809048,1008.13
810059,1013.13
811071,976.25
812081,1028.44
813092,1055.63
814104,1065.16
815116,1074.22
816128,1055.78
817137,1009.53
818149,1027.81
819161,1001.25
820172,1038.28
821182,1069.69
822194,1074.22
823205,1070.47
824217,1048.75
825229,1008.59
826238,961.72
827250,970.47
828262,1028.44
829274,1069.06
830283,1058.44
831295,1060.94
832307,1054.38
833318,979.53
834328,955.47
835340,1007.66
836352,1011.56
837363,1073.13
838373,1075
839385,1067.97
840396,1046.09
841408,988.91
842420,991.09
843429,982.97
844441,1042.97
845453,1052.03
846465,1075.47
847474,1073.44
848486,1002.34
849498,970.63
850509,939.84
851519,987.66
852531,1027.81
853542,1056.41
854554,1062.81
855564,1037.19
856576,983.13
857587,1007.03
858599,1005.31
859609,1052.5
860620,1056.56
861632,1059.69
862644,1061.25
863653,980.47
864665,981.88
865677,957.81
866689,982.03
867698,1067.97
868710,1061.88
869722,1054.84
870733,1068.44
871743,1014.53
872755,987.34
873766,987.5
874778,1015.94
875788,1061.25
876800,1067.34
877811,1060.31
878823,1060.94
879835,1022.5
880844,997.66
881856,959.06
882868,947.5
883879,1044.69
884889,1065.47
